Membership No  Date Joined  Active  
    99929      2020-1-3     yes   
    86432      2016-12-21   no    
    47467      2018-2-2     no    
    95554      2015-4-19    yes   
    90281      2017-5-19    yes   
    42314      2019-12-9    yes   
    65743      2015-4-23    yes   
    88435      2015-6-7     yes   
    70409      2016-10-25   no    
    40724      2017-8-17    yes   
    44409      2015-4-13    yes   
    80747      2019-11-3    no    
    30592      2016-8-23    yes   
    57969      2019-8-23    yes   
    61885      2015-11-6    no    
    38224      2016-6-23    no    
    70914      2017-5-20    yes   
    71624      2019-9-8     yes   
    50250      2016-3-10    yes   
    67931      2016-9-11    no    
