Membership No  Date Joined  Active  
    73696      2019-5-24    yes   
    72254      2016-8-25    no    
    24392      2017-7-11    no    
    17155      2015-6-9     yes   
    48943      2018-12-21   no    
    86316      2017-1-2     no    
    90146      2016-1-21    yes   
    43768      2017-12-24   yes   
    98121      2019-10-25   no    
    50401      2020-8-20    no    
    35458      2017-11-3    no    
    61787      2020-5-22    no    
    40917      2015-3-5     no    
    12613      2019-12-12   yes   
    69085      2015-6-7     no    
    19040      2018-3-5     yes   
    77056      2016-7-5     no    
    63943      2017-12-7    no    
    48634      2017-8-4     yes   
    18182      2020-8-20    yes   
